P			T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.0016958015806880031	16450.000	12960.000	100.000	40298.000	9460.000	40738.000	473027.000	440.000	0.230
0.0009440858646621584	16550.000	13040.000	100.000	58997.000	13750.000	59569.000	687563.000	572.000	0.230
0.0012784240678690487	16650.000	13120.000	100.000	51447.000	12000.000	51912.000	600052.000	465.000	0.230
0.001454554024367456	16750.000	13200.000	100.000	45729.000	10637.000	46185.000	531907.000	456.000	0.230
0.0012064270230242335	16850.000	13280.000	100.000	50629.000	11731.000	51141.000	586581.000	512.000	0.230
0.0012161219735248722	16950.000	13360.000	100.000	53226.000	12442.000	53705.000	622146.000	477.000	0.230
0.0012623625263979484	17050.000	13440.000	100.000	51126.000	11922.000	51604.000	596117.000	478.000	0.230
0.0011825289588484709	17150.000	13520.000	100.000	52008.000	12198.000	52521.000	609926.000	513.000	0.230
0.001314782794058335	17250.000	13600.000	100.000	48241.000	11226.000	48730.000	561337.000	489.000	0.230
0.0013132898508969254	17350.000	13680.000	100.000	50129.000	11654.000	50605.000	582728.000	463.000	0.230
0.0011247864859307535	17450.000	13760.000	100.000	53567.000	12499.000	54091.000	624969.000	524.000	0.230
0.001447965593642019	17550.000	13840.000	100.000	45932.000	10737.000	46390.000	536904.000	458.000	0.230
0.0009742989801310713	17650.000	13920.000	100.000	59168.000	13840.000	59721.000	692023.000	553.000	0.230
0.001130637242812274	17750.000	14000.000	100.000	54120.000	12600.000	54633.000	630044.000	513.000	0.230
0.0015185435259627757	17850.000	14080.000	100.000	46033.000	10770.000	46455.000	538530.000	422.000	0.230
0.0010986510569010281	17950.000	14160.000	100.000	56126.000	13068.000	56634.000	653443.000	508.000	0.230
0.0010112656015533962	18050.000	14240.000	100.000	57722.000	13467.000	58266.000	673383.000	544.000	0.230
0.0011032947512185508	18150.000	14320.000	100.000	55140.000	12872.000	55658.000	643648.000	518.000	0.230
